model,outcome,event,horizon,n,hac_lag,beta,hac_se,hac_p,hac_95_low,hac_95_high
joint,lbrent,nuclear_threat,12,425,48,0.0993731534968,0.0289554203646,0.000599288664045,0.0426215724249,0.156124734569
joint,lbrent,military_conflict,24,413,4,-0.016571872621,0.0425424306205,0.696878566254,-0.099953504452,0.0668097592101
joint,lbrent,diplomatic_tension,24,413,4,-0.310336631572,0.0829231023758,0.000182225465773,-0.472862925714,-0.147810337429
joint,lbrent,nuclear_threat,24,413,4,0.124592699142,0.0406338077099,0.00216774727609,0.0449518994755,0.204233498808
joint,lbrent,military_conflict,24,413,12,-0.016571872621,0.0434599823342,0.702970728864,-0.101751872765,0.0686081275228
joint,lbrent,diplomatic_tension,24,413,12,-0.310336631572,0.0801905120828,0.000108838972954,-0.467507147156,-0.153166115987
joint,lbrent,nuclear_threat,24,413,12,0.124592699142,0.0462203357701,0.00702566818962,0.0340025056789,0.215182892604
joint,lbrent,military_conflict,24,413,24,-0.016571872621,0.0449929200755,0.712633310695,-0.104756375528,0.0716126302863
joint,lbrent,diplomatic_tension,24,413,24,-0.310336631572,0.0745328595709,3.13054837855e-05,-0.456418351995,-0.164254911148
joint,lbrent,nuclear_threat,24,413,24,0.124592699142,0.044494976577,0.00510785434583,0.0373841475577,0.211801250726
joint,lbrent,military_conflict,24,413,48,-0.016571872621,0.0497499307083,0.739056209428,-0.114079945043,0.0809361998007
joint,lbrent,diplomatic_tension,24,413,48,-0.310336631572,0.0795530606405,9.57954444181e-05,-0.466257765287,-0.154415497856
joint,lbrent,nuclear_threat,24,413,48,0.124592699142,0.0444370580132,0.00505039553018,0.0374976658569,0.211687732426
joint,lbrent,military_conflict,48,389,4,0.0165526674077,0.0480007372605,0.73021320046,-0.0775270488544,0.11063238367
joint,lbrent,diplomatic_tension,48,389,4,-0.239392658298,0.0982466850895,0.0148240727625,-0.431952622673,-0.0468326939219
joint,lbrent,nuclear_threat,48,389,4,0.00923402532131,0.0388236620358,0.81200108678,-0.0668589540168,0.0853270046594
joint,lbrent,military_conflict,48,389,12,0.0165526674077,0.0503713994294,0.742448660054,-0.0821734613249,0.11527879614
joint,lbrent,diplomatic_tension,48,389,12,-0.239392658298,0.104161571894,0.0215457483322,-0.443545587783,-0.0352397288124
joint,lbrent,nuclear_threat,48,389,12,0.00923402532131,0.038776185846,0.811775223181,-0.0667659023947,0.0852339530373
joint,lbrent,military_conflict,48,389,24,0.0165526674077,0.0523138758987,0.751690835379,-0.0859806452454,0.119085980061
joint,lbrent,diplomatic_tension,48,389,24,-0.239392658298,0.102781986092,0.0198521535389,-0.440841649297,-0.0379436672983
joint,lbrent,nuclear_threat,48,389,24,0.00923402532131,0.0390909945566,0.813262941669,-0.0673829161296,0.0858509667722
joint,lbrent,military_conflict,48,389,48,0.0165526674077,0.0530930877122,0.755217680503,-0.0875078723362,0.120613207152
joint,lbrent,diplomatic_tension,48,389,48,-0.239392658298,0.113235705744,0.0345059332908,-0.461330563319,-0.0174547532761
joint,lbrent,nuclear_threat,48,389,48,0.00923402532131,0.0352734888002,0.793488186549,-0.0599007423362,0.0783687929788
