model,outcome,event,horizon,beta,block_length,draws,seed,multiplier_se,critical90,critical95,sim90_low,sim90_high,sim95_low,sim95_high
single,lwti,military_conflict,46,0.0575927899112,6,1999,20260925,0.0554892534215,2.6154442729,2.87586922455,-0.0875362601577,0.20272183998,-0.101987046297,0.217172626119
single,lwti,military_conflict,47,0.0395620561419,6,1999,20260925,0.0567624727498,2.6154442729,2.87586922455,-0.108897028127,0.188021140411,-0.123679392349,0.202803504632
single,lwti,military_conflict,48,0.0465391798434,6,1999,20260925,0.0509941218465,2.6154442729,2.87586922455,-0.0868331040919,0.179911463779,-0.100113245808,0.193191605495
single,lwti,military_conflict,0,0.065124540943,12,1999,20260931,0.020045923329,2.56727468235,2.75063511443,0.013661149496,0.11658793239,0.00998552033289,0.120263561553
single,lwti,military_conflict,1,0.0473526791375,12,1999,20260931,0.028379486893,2.56727468235,2.75063511443,-0.0255052590609,0.120210617336,-0.0307089340399,0.125414292315
single,lwti,military_conflict,2,0.0155723003004,12,1999,20260931,0.0349307222276,2.56727468235,2.75063511443,-0.0741044585107,0.105249059112,-0.0805093708313,0.111653971432
single,lwti,military_conflict,3,-0.00030824478444,12,1999,20260931,0.034349632371,2.56727468235,2.75063511443,-0.0884931863186,0.0878766967497,-0.0947915497521,0.0941750601832
single,lwti,military_conflict,4,-0.00668024763771,12,1999,20260931,0.029313242044,2.56727468235,2.75063511443,-0.0819353917949,0.0685748965195,-0.0873102805219,0.0739497852465
single,lwti,military_conflict,5,0.00230098233755,12,1999,20260931,0.0318554189435,2.56727468235,2.75063511443,-0.0794806282116,0.0840825928867,-0.0853216515933,0.0899236162684
single,lwti,military_conflict,6,-0.0471543597054,12,1999,20260931,0.0311882183693,2.56727468235,2.75063511443,-0.127223083113,0.0329143637018,-0.132941768309,0.0386330488979
single,lwti,military_conflict,7,-0.0430706134081,12,1999,20260931,0.033454587681,2.56727468235,2.75063511443,-0.12895772937,0.0428165025537,-0.135091977022,0.0489507502061
single,lwti,military_conflict,8,-0.0427894599761,12,1999,20260931,0.036618078941,2.56727468235,2.75063511443,-0.136798126957,0.0512192070052,-0.143512433734,0.0579335137819
single,lwti,military_conflict,9,-0.0239959805324,12,1999,20260931,0.0364526541794,2.56727468235,2.75063511443,-0.117579956712,0.0695879956468,-0.124263931133,0.0762719700677
single,lwti,military_conflict,10,-0.00636447364324,12,1999,20260931,0.0375479994778,2.56727468235,2.75063511443,-0.102760502076,0.090031554789,-0.109645319484,0.0969163721972
single,lwti,military_conflict,11,0.010337233002,12,1999,20260931,0.0417472399047,2.56727468235,2.75063511443,-0.0968393990633,0.117513865067,-0.104494191011,0.125168657015
single,lwti,military_conflict,12,-0.00153839171121,12,1999,20260931,0.0423578986057,2.56727468235,2.75063511443,-0.110282752399,0.107205968977,-0.11804951499,0.114972731567
single,lwti,military_conflict,13,-0.00519790642702,12,1999,20260931,0.0464336328302,2.56727468235,2.75063511443,-0.124405796402,0.114009983548,-0.132919887381,0.122524074526
single,lwti,military_conflict,14,0.0209008138072,12,1999,20260931,0.0526415192023,2.56727468235,2.75063511443,-0.114244425681,0.156046053296,-0.123896797388,0.165698425002
single,lwti,military_conflict,15,0.0178376210336,12,1999,20260931,0.0505679959305,2.56727468235,2.75063511443,-0.111984314656,0.147659556723,-0.121256484239,0.156931726306
single,lwti,military_conflict,16,-0.0049637516902,12,1999,20260931,0.0515642973741,2.56727468235,2.75063511443,-0.137343466852,0.127415963472,-0.146798318699,0.136870815318
single,lwti,military_conflict,17,0.0102798925685,12,1999,20260931,0.0552612281857,2.56727468235,2.75063511443,-0.131590859468,0.152150644605,-0.141723582146,0.162283367283
single,lwti,military_conflict,18,0.00186956874838,12,1999,20260931,0.055951286793,2.56727468235,2.75063511443,-0.14177275328,0.145511890777,-0.152032005402,0.155771142899
single,lwti,military_conflict,19,0.0120770629934,12,1999,20260931,0.0571854916124,2.56727468235,2.75063511443,-0.134733801821,0.158887927808,-0.145219358272,0.169373484259
single,lwti,military_conflict,20,0.0351417038751,12,1999,20260931,0.0553693537311,2.56727468235,2.75063511443,-0.107006636137,0.177290043887,-0.117159184761,0.187442592511
single,lwti,military_conflict,21,0.0275239358089,12,1999,20260931,0.0547687921931,2.56727468235,2.75063511443,-0.113082597771,0.168130469389,-0.123125027172,0.17817289879
single,lwti,military_conflict,22,0.0174347157956,12,1999,20260931,0.0570413942885,2.56727468235,2.75063511443,-0.129006211607,0.163875643198,-0.139465346311,0.174334777902
single,lwti,military_conflict,23,0.00833351203494,12,1999,20260931,0.0519839746417,2.56727468235,2.75063511443,-0.125123629951,0.14179065402,-0.134655434002,0.151322458072
single,lwti,military_conflict,24,0.00589755499183,12,1999,20260931,0.0507208597744,2.56727468235,2.75063511443,-0.124316824174,0.136111934158,-0.133617022938,0.145412132922
single,lwti,military_conflict,25,0.0277269569479,12,1999,20260931,0.0500206455606,2.56727468235,2.75063511443,-0.100689779994,0.15614369389,-0.109861587178,0.165315501073
single,lwti,military_conflict,26,0.0131240666597,12,1999,20260931,0.0471265638788,2.56727468235,2.75063511443,-0.107862767652,0.134110900972,-0.116503914768,0.142752048087
single,lwti,military_conflict,27,0.00492571627977,12,1999,20260931,0.0473012432291,2.56727468235,2.75063511443,-0.116509567906,0.126361000466,-0.125182744303,0.135034176862
single,lwti,military_conflict,28,-0.00426775842002,12,1999,20260931,0.0477591931883,2.56727468235,2.75063511443,-0.126878725942,0.118343209102,-0.135635872241,0.127100355401
single,lwti,military_conflict,29,0.00799319891409,12,1999,20260931,0.0444375165412,2.56727468235,2.75063511443,-0.106090112249,0.122076510077,-0.114238194482,0.13022459231
single,lwti,military_conflict,30,-0.00777190186023,12,1999,20260931,0.0447826093858,2.56727468235,2.75063511443,-0.122741161146,0.107197357425,-0.130952519753,0.115408716032
single,lwti,military_conflict,31,0.000996532934105,12,1999,20260931,0.0456337608579,2.56727468235,2.75063511443,-0.116157865977,0.118150931845,-0.124525292085,0.126518357953
single,lwti,military_conflict,32,-0.0205873655805,12,1999,20260931,0.0434808669913,2.56727468235,2.75063511443,-0.132214694574,0.0910399634129,-0.140187365133,0.0990126339719
single,lwti,military_conflict,33,-0.0181954279841,12,1999,20260931,0.0450582315074,2.56727468235,2.75063511443,-0.133872284965,0.0974814289963,-0.142134181763,0.105743325794
single,lwti,military_conflict,34,0.000681888901103,12,1999,20260931,0.042200909124,2.56727468235,2.75063511443,-0.107659436665,0.109023214467,-0.115397413596,0.116761191399
single,lwti,military_conflict,35,0.0025300902924,12,1999,20260931,0.0483460921448,2.56727468235,2.75063511443,-0.121587608062,0.126647788646,-0.130452368407,0.135512548992
single,lwti,military_conflict,36,-0.00231802104475,12,1999,20260931,0.0486741068667,2.56727468235,2.75063511443,-0.12727782329,0.1226417812,-0.136202728556,0.131566686467
single,lwti,military_conflict,37,0.00227346586108,12,1999,20260931,0.0518107364936,2.56727468235,2.75063511443,-0.130738926213,0.135285857935,-0.140238965243,0.144785896965
single,lwti,military_conflict,38,-0.022985925748,12,1999,20260931,0.0515772997503,2.56727468235,2.75063511443,-0.155399021581,0.109427170085,-0.164856257549,0.118884406053
single,lwti,military_conflict,39,-0.00388617700505,12,1999,20260931,0.0497196745735,2.56727468235,2.75063511443,-0.131530238752,0.123757884742,-0.140646859765,0.132874505755
single,lwti,military_conflict,40,-1.50769987786e-05,12,1999,20260931,0.0523768141186,2.56727468235,2.75063511443,-0.134480745827,0.13445059183,-0.144084581095,0.144054427098
single,lwti,military_conflict,41,0.0141266543752,12,1999,20260931,0.0522981483951,2.56727468235,2.75063511443,-0.120137057933,0.148390366684,-0.12972646902,0.157979777771
single,lwti,military_conflict,42,0.0266964258508,12,1999,20260931,0.0514610498489,2.56727468235,2.75063511443,-0.105418224553,0.158811076255,-0.114854144889,0.168246996591
single,lwti,military_conflict,43,0.00926314148589,12,1999,20260931,0.0482255354256,2.56727468235,2.75063511443,-0.114545054655,0.133071337627,-0.123387709668,0.14191399264
single,lwti,military_conflict,44,0.0212971289441,12,1999,20260931,0.0484881572463,2.56727468235,2.75063511443,-0.103185289548,0.145779547436,-0.112076099012,0.1546703569
single,lwti,military_conflict,45,0.0524517704135,12,1999,20260931,0.0512858168205,2.56727468235,2.75063511443,-0.0792130086734,0.1841165495,-0.0886167982054,0.193520339032
single,lwti,military_conflict,46,0.0575927899112,12,1999,20260931,0.0486046690235,2.56727468235,2.75063511443,-0.0671887463169,0.182374326139,-0.0761009194303,0.191286499253
single,lwti,military_conflict,47,0.0395620561419,12,1999,20260931,0.05540368425,2.56727468235,2.75063511443,-0.102674419742,0.181798532026,-0.112833263225,0.191957375509
single,lwti,military_conflict,48,0.0465391798434,12,1999,20260931,0.0509648763306,2.56727468235,2.75063511443,-0.0843016568493,0.177380016536,-0.0936465985944,0.186724958281
single,lwti,diplomatic_tension,0,-0.0121237005105,1,1999,20260920,0.0306075093833,2.68700951331,2.92204204538,-0.0943663694021,0.0701189683812,-0.101560129833,0.0773127288119
single,lwti,diplomatic_tension,1,-0.0273772974067,1,1999,20260920,0.0495305824545,2.68700951331,2.92204204538,-0.160466443662,0.105711848848,-0.172107741871,0.117353147058
single,lwti,diplomatic_tension,2,-0.0433949340563,1,1999,20260920,0.0607968880859,2.68700951331,2.92204204538,-0.206756750723,0.11996688261,-0.221045997272,0.134256129159
single,lwti,diplomatic_tension,3,-0.0373765749857,1,1999,20260920,0.0644568667873,2.68700951331,2.92204204538,-0.210572789242,0.13581963927,-0.225722249852,0.15096909988
single,lwti,diplomatic_tension,4,0.0124033190398,1,1999,20260920,0.0640697419835,2.68700951331,2.92204204538,-0.159752687185,0.184559325265,-0.174811160873,0.199617798952
single,lwti,diplomatic_tension,5,-0.00729442083791,1,1999,20260920,0.0616744637955,2.68700951331,2.92204204538,-0.173014291785,0.158425450109,-0.187509797175,0.172920955499
single,lwti,diplomatic_tension,6,-0.0133168452654,1,1999,20260920,0.0638833118409,2.68700951331,2.92204204538,-0.184971911924,0.158338221393,-0.199986568463,0.173352877932
single,lwti,diplomatic_tension,7,-0.0277074228923,1,1999,20260920,0.0771691428271,2.68700951331,2.92204204538,-0.235061643803,0.179646798018,-0.253198902839,0.197784057055
single,lwti,diplomatic_tension,8,-0.132620793905,1,1999,20260920,0.0890552638672,2.68700951331,2.92204204538,-0.371913135126,0.106671547317,-0.392844019287,0.127602431478
single,lwti,diplomatic_tension,9,-0.144622850903,1,1999,20260920,0.0722446228655,2.68700951331,2.92204204538,-0.338744839828,0.0494991380222,-0.355724676469,0.0664789746627
single,lwti,diplomatic_tension,10,-0.171001894531,1,1999,20260920,0.0735154121574,2.68700951331,2.92204204538,-0.368538506373,0.026534717311,-0.385817019839,0.0438132307764
single,lwti,diplomatic_tension,11,-0.1865169966,1,1999,20260920,0.0729256005858,2.68700951331,2.92204204538,-0.382468779138,0.00943478593849,-0.399608667696,0.0265746744968
single,lwti,diplomatic_tension,12,-0.19529046305,1,1999,20260920,0.0746285589077,2.68700951331,2.92204204538,-0.3958181108,0.00523718469934,-0.413358249965,0.0227773238641
single,lwti,diplomatic_tension,13,-0.177120522154,1,1999,20260920,0.0782195403935,2.68700951331,2.92204204538,-0.387297171318,0.0330561270109,-0.405681307954,0.0514402636469
