model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,interpretation
single,pre_2019,lwti,diplomatic_tension,24,345,1990-04-01,2018-12-01,-0.327997937313,HC3,0.255534160391,0.112320973866,0.0034982450754,-0.512749498559,-0.143246376067,-0.548143000799,-0.107852873828,0.109315336594,0.00269558858355,-0.507805665192,-0.148190209434,-0.542252059996,-0.11374381463,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,diplomatic_tension,24,68,2019-01-01,2024-08-01,-0.0904088924386,HC3,0.870741755639,0.0758221250324,0.233111725728,-0.215125189801,0.0343074049242,-0.239017526733,0.0581997418563,0.0704312461491,0.199265324664,-0.206257983118,0.0254401982405,-0.228451598277,0.0476338134,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,diplomatic_tension,48,213,1990-04-01,2007-12-01,-0.116416143373,HC3,0.361031527374,0.0977262433439,0.233556436069,-0.277161509186,0.0443292224397,-0.307956060671,0.0751237739256,0.0953966663629,0.222336903852,-0.273329696039,0.0404974092931,-0.303390173689,0.0705578869435,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,diplomatic_tension,48,176,2008-01-01,2022-08-01,0.0736800272505,HC3,0.713323459566,0.126810363976,0.561223415673,-0.134904459871,0.282264514372,-0.174863719009,0.32222377351,0.121343474183,0.543716717269,-0.125912226366,0.273272280867,-0.164148811907,0.311508866408,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,diplomatic_tension,48,261,1990-04-01,2011-12-01,-0.257785252581,HC3,0.308098010489,0.129667946591,0.0468071059025,-0.47107004483,-0.0445004603312,-0.511929757848,-0.00364074731317,0.125070384622,0.0392914548586,-0.463507728351,-0.0520627768106,-0.502918701973,-0.0126518031885,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,diplomatic_tension,48,128,2012-01-01,2022-08-01,0.0699640196159,HC3,0.771945991593,0.0908873433214,0.441425441261,-0.0795323566902,0.219460395922,-0.108171899945,0.248099939176,0.083500817154,0.40209571483,-0.0673826023333,0.207310641565,-0.0936945746856,0.233622613917,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,diplomatic_tension,48,345,1990-04-01,2018-12-01,-0.252492527707,HC3,0.255534160391,0.11852988427,0.0331549879413,-0.44745683775,-0.0575282176638,-0.484806831967,-0.0201782234467,0.114928886632,0.0280243217291,-0.441533723724,-0.0634513316894,-0.477749006288,-0.0272360491257,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,diplomatic_tension,48,44,2019-01-01,2022-08-01,-0.126641765201,HC3,0.904579929265,0.149621190967,0.397320733627,-0.372746723833,0.11946319343,-0.419893910821,0.166610380418,0.122976806042,0.30310294496,-0.32892061065,0.0756370802476,-0.367671875977,0.114388345575,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,nuclear_threat,0,213,1990-04-01,2007-12-01,0.00057839075115,HC3,0.363063643203,0.0215061480218,0.97854411568,-0.0347960748243,0.0359528563266,-0.0415728848178,0.0427296663201,0.0194425841883,0.976267507101,-0.0314018143683,0.0325585958706,-0.0375283740244,0.0386851555267,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,nuclear_threat,0,219,2008-01-01,2026-03-01,0.0292715050447,HC3,0.669501246627,0.0229862390597,0.2028633584,-0.00853749364269,0.067080503732,-0.0157806956524,0.0743237057417,0.0203098458697,0.149514906031,-0.00413521859692,0.0626782286862,-0.0105350613915,0.0690780714808,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,nuclear_threat,0,261,1990-04-01,2011-12-01,0.0161227839321,HC3,0.320690853473,0.0205624152454,0.432987309491,-0.0176993793631,0.0499449472274,-0.024178809384,0.0564243772482,0.0188788090348,0.393096741826,-0.0149300935813,0.0471756614455,-0.0208790018471,0.0531245697114,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,nuclear_threat,0,171,2012-01-01,2026-03-01,0.0272022707601,HC3,0.725951874445,0.0270291278165,0.314220409083,-0.0172566881622,0.0716612296823,-0.0257738462937,0.0801783878139,0.0232182991565,0.24136267968,-0.0109884328191,0.0653929743393,-0.0183047593689,0.0727093008891,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,nuclear_threat,0,345,1990-04-01,2018-12-01,0.0153167882404,HC3,0.256576836281,0.0146710182123,0.296477656289,-0.00881488927717,0.039448465758,-0.0134378790722,0.0440714555531,0.0141225001779,0.27811377269,-0.00791265739876,0.0385462338796,-0.0123628034798,0.0429963799607,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,nuclear_threat,0,87,2019-01-01,2026-03-01,0.0704316600419,HC3,0.81843305323,0.0488005611988,0.148948616044,-0.00983812004329,0.150701440127,-0.0252156823332,0.166079002417,0.0406871501693,0.0834421074071,0.0035072535156,0.137356066568,-0.00931368892351,0.150177009007,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,nuclear_threat,12,213,1990-04-01,2007-12-01,0.060428464136,HC3,0.363063643203,0.0617753497496,0.327976881236,-0.0411829439558,0.162039872228,-0.0606489965056,0.181505924778,0.0549099212565,0.271113569933,-0.0298903189985,0.15074724727,-0.0471930039208,0.168049932193,Descriptive origin-month split; no independent-subsample difference test
