model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high
joint,mechanism_lag_augmented,lwip,nuclear_threat,16,419,1990-04-01,2025-02-01,0.00779182041605,HC3,0.55663106758,0.00447519740238,0.0816639280934,0.000430775737417,0.0151528650947,-0.000979405316327,0.0165630461484,0.00425439712386,0.0670297304069,0.000793959876373,0.0147896809557,-0.000546644722652,0.0161302855548
joint,mechanism_lag_augmented,lwip,military_conflict,17,418,1990-04-01,2025-01-01,0.00131394646639,HC3,0.556757540088,0.00565303534303,0.816202475612,-0.00798446922088,0.0106123621537,-0.00976579920928,0.0123936921421,0.00523343618327,0.801761815044,-0.00729429002108,0.00992218295387,-0.00894339996821,0.011571292901
joint,mechanism_lag_augmented,lwip,diplomatic_tension,17,418,1990-04-01,2025-01-01,-0.00780900929481,HC3,0.556757540088,0.0144253103526,0.588272691558,-0.0315365333483,0.0159185147586,-0.0360820980518,0.0204640794622,0.0137488459966,0.57005152428,-0.0304238484987,0.0148058299091,-0.0347562522771,0.0191382336875
joint,mechanism_lag_augmented,lwip,nuclear_threat,17,418,1990-04-01,2025-01-01,0.00793678037368,HC3,0.556757540088,0.00454138675561,0.0805236669922,0.000466863897323,0.01540669685,-0.000964174107186,0.0168377348545,0.0043225907918,0.0663404251412,0.000826751231964,0.0150468095154,-0.000535341898148,0.0164089026455
joint,mechanism_lag_augmented,lwip,military_conflict,18,417,1990-04-01,2024-12-01,0.00237532682783,HC3,0.556771608641,0.00540485561107,0.6603136522,-0.00651486952718,0.0112655231828,-0.0082179955115,0.0129686491672,0.00499320524374,0.634279688366,-0.00583776492745,0.0105884185831,-0.00741117561732,0.012161829273
joint,mechanism_lag_augmented,lwip,diplomatic_tension,18,417,1990-04-01,2024-12-01,-0.0127178709335,HC3,0.556771608641,0.0150956617637,0.399516445941,-0.0375480249367,0.0121122830697,-0.0423048243131,0.016869082446,0.0144688614578,0.379410954965,-0.0365170301803,0.0110812883132,-0.0410763182881,0.015640576421
joint,mechanism_lag_augmented,lwip,nuclear_threat,18,417,1990-04-01,2024-12-01,0.00848858018841,HC3,0.556771608641,0.00443544570621,0.0556450182283,0.00119292123141,0.0157842391454,-0.000204733651137,0.017181894028,0.00421689063001,0.0441151445215,0.00155241234119,0.0154247480356,0.000223626426852,0.01675353395
joint,mechanism_lag_augmented,lwip,military_conflict,19,416,1990-04-01,2024-11-01,6.85490870084e-05,HC3,0.55686647801,0.00505738273599,0.989185595324,-0.00825010524917,0.00838720342319,-0.00984373893157,0.00998083710559,0.00470116857416,0.988366228683,-0.0076641850931,0.00780128326712,-0.00914557200359,0.00928267017761
joint,mechanism_lag_augmented,lwip,diplomatic_tension,19,416,1990-04-01,2024-11-01,-0.0169990715845,HC3,0.55686647801,0.0138046483384,0.218172549024,-0.0397056974728,0.00570755430377,-0.0440556851471,0.0100575419781,0.0132879865557,0.200798045239,-0.0388558644655,0.00485772129646,-0.0430430466606,0.00904490349164
joint,mechanism_lag_augmented,lwip,nuclear_threat,19,416,1990-04-01,2024-11-01,0.00929768354494,HC3,0.55686647801,0.00440362715711,0.0347405747432,0.00205436144382,0.0165410056461,0.000666732915657,0.0179286341742,0.0041926778756,0.0265821001906,0.00240134213461,0.0161940249553,0.00108018590998,0.0175151811799
joint,mechanism_lag_augmented,lwip,military_conflict,20,415,1990-04-01,2024-10-01,0.000917980070001,HC3,0.557012513825,0.00523571937964,0.8608201315,-0.0076940119413,0.0095299720813,-0.00934384134725,0.0111798014872,0.00486675090619,0.850388479935,-0.00708711280952,0.00892307294952,-0.00862067642786,0.0104566365679
joint,mechanism_lag_augmented,lwip,diplomatic_tension,20,415,1990-04-01,2024-10-01,-0.0119973924917,HC3,0.557012513825,0.0156406145516,0.443041939239,-0.0377239140648,0.0137291290813,-0.042652433709,0.0186576487255,0.0148681193315,0.419712201719,-0.0364532725,0.0124584875166,-0.0411383708993,0.0171435859158
joint,mechanism_lag_augmented,lwip,nuclear_threat,20,415,1990-04-01,2024-10-01,0.0101247230667,HC3,0.557012513825,0.00456526356031,0.0265702421614,0.00261553274154,0.0176339133919,0.00117697090857,0.0190724752249,0.00434994267614,0.0199358401029,0.00296970407883,0.0172797420546,0.00159899208666,0.0186504540468
