model,outcome,horizon,n,event,sw_conditional_F,conditional_df,residual_df,raw_wald_F_all_instruments,excluded_instruments,endogenous_regressors,covariance_assumption
joint,lwti,33,404,nuclear_threat,463.45976594,1,387,154.486588647,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,34,403,military_conflict,207.668777718,1,386,69.2229259059,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,34,403,diplomatic_tension,671.661646252,1,386,223.887215417,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,34,403,nuclear_threat,460.028902013,1,386,153.342967338,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,35,402,military_conflict,193.189293748,1,385,64.3964312493,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,35,402,diplomatic_tension,650.046799192,1,385,216.682266397,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,35,402,nuclear_threat,460.420171548,1,385,153.473390516,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,36,401,military_conflict,191.253707974,1,384,63.7512359914,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,36,401,diplomatic_tension,632.71617869,1,384,210.905392897,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,36,401,nuclear_threat,460.585593395,1,384,153.528531132,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,37,400,military_conflict,190.411029142,1,383,63.4703430473,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,37,400,diplomatic_tension,623.277312431,1,383,207.759104144,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,37,400,nuclear_threat,456.925494368,1,383,152.308498123,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,38,399,military_conflict,189.544866215,1,382,63.1816220717,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,38,399,diplomatic_tension,613.532576149,1,382,204.510858716,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,38,399,nuclear_threat,456.067817795,1,382,152.022605932,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,39,398,military_conflict,188.490539032,1,381,62.8301796773,3,3,homoskedastic Sanderson-Windmeijer correction
