model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high
joint,baseline,lwti,military_conflict,38,399,1990-04-01,2023-06-01,-0.045311413234,HC3,0.489406261661,0.08632914546,0.599674897192,-0.187310221255,0.0966873947874,-0.214513429152,0.123890602684,0.0775875423548,0.559217810356,-0.172931563683,0.0823087372146,-0.197380201899,0.10675737543
joint,baseline,lwti,diplomatic_tension,38,399,1990-04-01,2023-06-01,-0.172572759788,HC3,0.489406261661,0.119646076625,0.149200736552,-0.369373042875,0.0242275232998,-0.407074760865,0.0619292412892,0.113762951091,0.12927919487,-0.359696162503,0.0145506429277,-0.395544046702,0.0503985271264
joint,baseline,lwti,nuclear_threat,38,399,1990-04-01,2023-06-01,0.0170001594236,HC3,0.489406261661,0.056136494157,0.762014737125,-0.0753361565948,0.109336475442,-0.0930253473424,0.12702566619,0.053858632419,0.752272662526,-0.0715894074535,0.105589726301,-0.0885608203743,0.122561139221
joint,baseline,lwti,military_conflict,39,398,1990-04-01,2023-05-01,-0.0254031774777,HC3,0.489431651759,0.0854727218436,0.766307707746,-0.165993294008,0.115186939052,-0.192926633952,0.142120278996,0.0768213103547,0.740887129642,-0.151762988442,0.100956633486,-0.175970179018,0.125163824063
joint,baseline,lwti,diplomatic_tension,39,398,1990-04-01,2023-05-01,-0.200256011425,HC3,0.489431651759,0.128081879443,0.117935048685,-0.410931955373,0.0104199325225,-0.451291882205,0.0507798593543,0.121835896249,0.100247772192,-0.400658227263,0.000146204412515,-0.439049980098,0.0385379572466
joint,baseline,lwti,nuclear_threat,39,398,1990-04-01,2023-05-01,0.0254700862667,HC3,0.489431651759,0.0546455773033,0.641146769705,-0.0644138897575,0.115354062291,-0.0816332771622,0.132573449696,0.0525140412984,0.62766586026,-0.0609078250288,0.111847997562,-0.0774555433608,0.128395715894
joint,baseline,lwti,military_conflict,40,397,1990-04-01,2023-04-01,-0.0270573214645,HC3,0.489873091367,0.0880913899425,0.7587287603,-0.171954763715,0.117840120786,-0.1997132731,0.145598630171,0.0782890860991,0.729637457784,-0.155831408685,0.101716765756,-0.180501110601,0.126386467672
joint,baseline,lwti,diplomatic_tension,40,397,1990-04-01,2023-04-01,-0.22260662903,HC3,0.489873091367,0.136248946712,0.102296073608,-0.446716203197,0.00150294513772,-0.489649657516,0.0444363994571,0.129305181473,0.0851492532767,-0.435294725759,-0.0099185323004,-0.476040127731,0.0308268696715
joint,baseline,lwti,nuclear_threat,40,397,1990-04-01,2023-04-01,0.0263007443209,HC3,0.489873091367,0.0557148123752,0.636883834524,-0.0653419668893,0.117943455531,-0.0828982813398,0.135499769982,0.0536965598048,0.624273199052,-0.0620222368288,0.114623725471,-0.0789425789901,0.131544067632
joint,baseline,lwti,military_conflict,41,396,1990-04-01,2023-03-01,-0.00951882063168,HC3,0.489883599603,0.0884457797566,0.914294567937,-0.154999182253,0.13596154099,-0.182869363539,0.163831722276,0.0779744170606,0.902838669521,-0.137775323343,0.11873768208,-0.162345869786,0.143308228523
