model,outcome,horizon,n,events,minimum_canonical_correlation,ar_joint_zero_statistic_hc3,ar_joint_zero_p_value_hc3,maximum_canonical_correlation,canonical_correlation_ratio,first_stage_rank,ar_joint_zero_statistic,ar_df
single,lwti,19,418,terrorism,0.51931519092,1.67228271441,0.195953062472,0.51931519092,1,1,2.8258725768,1
single,lwti,20,417,terrorism,0.518562877533,2.09246267686,0.148027282869,0.518562877533,1,1,2.47786513604,1
single,lwti,21,416,terrorism,0.5189869714,2.83733043345,0.0920971061351,0.5189869714,1,1,3.65093891703,1
single,lwti,22,415,terrorism,0.518406598634,3.54727215484,0.0596434268136,0.518406598634,1,1,3.62033919499,1
single,lwti,23,414,terrorism,0.518370494552,4.6048010173,0.0318825530475,0.518370494552,1,1,6.67638723317,1
single,lwti,24,413,terrorism,0.518315234931,3.21491390154,0.0729700301962,0.518315234931,1,1,5.40591580548,1
single,lwti,25,412,terrorism,0.518729881719,5.0249390376,0.0249848051398,0.518729881719,1,1,7.06921191981,1
single,lwti,26,411,terrorism,0.51977975863,5.37676944083,0.0204066318328,0.51977975863,1,1,6.52256885579,1
single,lwti,27,410,terrorism,0.520017572818,5.01601698148,0.0251138735855,0.520017572818,1,1,5.12808721203,1
single,lwti,28,409,terrorism,0.519971752743,4.91688976703,0.0265953539478,0.519971752743,1,1,5.57054501029,1
single,lwti,29,408,terrorism,0.521315093012,2.86392051756,0.0905864665444,0.521315093012,1,1,4.62919998824,1
single,lwti,30,407,terrorism,0.525630572955,4.65975110604,0.0308776671567,0.525630572955,1,1,6.82944794853,1
single,lwti,31,406,terrorism,0.526939026838,3.05194870115,0.08064033175,0.526939026838,1,1,5.16155327211,1
single,lwti,32,405,terrorism,0.527034378993,6.36391231209,0.0116464464301,0.527034378993,1,1,10.2134994471,1
single,lwti,33,404,terrorism,0.526394079648,4.01225504135,0.0451706966299,0.526394079648,1,1,7.31288586877,1
single,lwti,34,403,terrorism,0.530819256744,2.38282982225,0.12267514728,0.530819256744,1,1,8.00207282119,1
single,lwti,35,402,terrorism,0.542059996876,2.9756282534,0.0845273025707,0.542059996876,1,1,10.7834301811,1
single,lwti,36,401,terrorism,0.547346162664,1.33400325407,0.248094281519,0.547346162664,1,1,5.99316812262,1
single,lwti,37,400,terrorism,0.548753169116,2.28543927079,0.130593163358,0.548753169116,1,1,12.6495319551,1
single,lwti,38,399,terrorism,0.548733048387,4.07844907984,0.0434335079154,0.548733048387,1,1,12.6256929225,1
single,lwti,39,398,terrorism,0.548602597246,2.57737690801,0.108401163996,0.548602597246,1,1,7.49056247827,1
single,lwti,40,397,terrorism,0.548634898079,3.19654629986,0.0737939529912,0.548634898079,1,1,10.3133173264,1
single,lwti,41,396,terrorism,0.548503963568,1.76527046692,0.18396848072,0.548503963568,1,1,7.80697862167,1
single,lwti,42,395,terrorism,0.548131897642,2.03873182457,0.153337436894,0.548131897642,1,1,11.9680420337,1
single,lwti,43,394,terrorism,0.548015035582,2.80546181382,0.0939437897036,0.548015035582,1,1,13.0869317887,1
single,lwti,44,393,terrorism,0.548014974274,1.84054754462,0.174886785234,0.548014974274,1,1,7.86101816278,1
single,lwti,45,392,terrorism,0.548309019392,1.30221801071,0.253808475588,0.548309019392,1,1,6.86380371301,1
single,lwti,46,391,terrorism,0.548450175398,0.815013963252,0.366642010785,0.548450175398,1,1,4.52310375124,1
single,lwti,47,390,terrorism,0.547932633627,1.24151104014,0.265180038158,0.547932633627,1,1,7.80445153734,1
single,lwti,48,389,terrorism,0.550899707078,1.61590301744,0.203664000921,0.550899707078,1,1,9.67384023718,1
single,lwti,0,432,civil_war,0.7023492437,0.298158727126,0.585039042562,0.7023492437,1,1,0.277697184859,1
single,lwti,1,432,civil_war,0.7023492437,1.06840927384,0.301305029752,0.7023492437,1,1,1.47727362678,1
single,lwti,2,432,civil_war,0.7023492437,2.05990762495,0.151219337317,0.7023492437,1,1,3.03926819741,1
single,lwti,3,432,civil_war,0.7023492437,2.59800091843,0.10699860248,0.7023492437,1,1,3.57715966302,1
single,lwti,4,432,civil_war,0.7023492437,1.44523476739,0.229294116165,0.7023492437,1,1,2.17626048961,1
single,lwti,5,432,civil_war,0.7023492437,0.279335648779,0.597136986949,0.7023492437,1,1,0.365298484043,1
single,lwti,6,431,civil_war,0.705496911664,0.107990590577,0.742443520111,0.705496911664,1,1,0.133845975135,1
single,lwti,7,430,civil_war,0.704551367682,0.00912588398917,0.923894265531,0.704551367682,1,1,0.0133139848274,1
single,lwti,8,429,civil_war,0.702109672615,0.563965634178,0.45266682655,0.702109672615,1,1,0.742212464077,1
